urn,estab,laestab,school_name,broad_phase_of_school,detailed_phase_school,type,phase_type_grouping,trust,typeofestablishment_name,special_school,alternative_provision,all_through_school,parl_con_code,parl_con_name,ward_code,ward_name,school_postcode,academy_flag,school_size,total_early_years_girls,total_early_years_boys,total_early_years_E1_and_E2,total_nursery_girls,total_nursery_boys,total_nursery_N1_and_N2,total_reception_girls,total_reception_boys,total_reception,KS1_girls,KS1_boys,KS1_total,KS2_girls,KS2_boys,KS2_total,KS3_girls,KS3_boys,KS3_total,KS4_girls,KS4_boys,KS4_total,KS5_girls,KS5_boys,KS5_total,total_girls,total_boys,total_fulltime,total_parttime,total_pupils,fte_pupils,number_pupils_eligible_FSMs,%_pupils_eligible_FSMs,number of pupils known to be eligible for free school meals (Performance Tables),%_ pupils_known_eligible_for_FSMs_performance_table,artsmark_progress,most_recent_award,artsaward,artsaward_combined_arts,artsaward_craft,artsaward_dance,artsaward_design,artsaward_film_video,artsaward_literature,artsaward_music,artsaward_photography,arts_award_technical_production,artsaward_theatre_drama,artsaward_visualarts,artsaward_other,KS4_technical_award_entries_art_design,KS4_GCSE_entries_art_design,KS4_GCSE_entries_art_design_3d,KS4_GCSE_entries_art_design_fineart,KS4_GCSE_entries_art_design_graphics,KS4_GCSE_entries_art_design_photography,KS4_GCSE_entries_art_design_textiles,KS4_GCSE_entries_d&t_food_tech,KS4_GCSE_entries_d&t,KS4_technical_entries_dance_general,KS4_GCSE_entries_dance,KS4_GCSE_entries_drama&theatre,KS4_technical_entries_engineeering,KS4_GCSE_entries_film_studies,KS4_technical_award_graphic_design,KS4_GCSE_entries_media_film_tv_studies,KS4_technical_award_entries_multimedia,KS4_GCSE_entries_music,music_performance_group_Grade6_Performing_Arts,music_performance_group_grade7_performing_arts,music_performance_group_grade8_performing_arts,KS4_technical_award_entries_music_studies_general,KS4_technical_award_entries_music_performance_group,KS4_technical_award_entries_music_tech_electronic,KS4_technical_award_entries_speech_and_drama,KS5_BTEC_certificate_art_design,KS5_BTEC_diploma_art_design,KS5_Alevel_art_design,KS5_Alevel_art_design_3D,KS5_Alevel_art_design_fine_art,KS5_Alevel_art_design_graphics,KS5_AS_art_design_photography,KS5_ALevel_art_design_photography,KS5_ALevel_art_design_textiles,KS5_ALevel_design_and_tech_product_design,KS5_ALevel_drama_and_theatre,KS5_Engineeering_OCR_technical_diploma,KS5_engineeering_OCR_extended_certificate,KS5_Engineeering_VRQ_level3,KS5_Engineeering_OCR_technical_foundation_diploma,KS5_ASLevel_film_studies,KS5_ALevel_film_studies,KS5_OCR_level3_multimedia,KS5_OCR_extended_level3_multimedia,KS5_ALevel_media_film_tv_studies,KS5_BTEC_Level3_music_performance_group,KS5_VRQ_Level3_music_performance_group,KS5_ASLevel_music,KS5_ALevel_music,KS5_ALevel_music_technology,KS5_BTEC_Level3_speech_and_drama_group
107912,2436,3832436,Alwoodley Primary School,Primary,Primary,Community,State-funded primary,,Community school,,,,E14000779,Leeds North East,E05012842,Alwoodley,LS17 5HX,LA Maintained,401 to 500 pupils,0,0,0,32,29,61,35,25,60,67,53,120,107,136,243,0,0,0,0,0,0,0,0,0,241,243,441,43,484,462.5,80,16.5,79,17.9,Registered,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149399,6017,3836017,Armley Grange School,N/A,N/A,Independent,Independent school,,Other independent special school,Yes,,,E14000781,Leeds West,E05011385,Armley,LS12 3QH,Independent,Up to 100 pupils,#VALUE!,#VALUE!,z,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1,0,1,0,1,1,z,z,z,z,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147632,2032,3832032,Armley Park Primary School,Primary,Primary,Academy & Free Schools,State-funded primary,Owlcotes Multi Academy Trust,Academy sponsor led,,,,E14000781,Leeds West,E05011385,Armley,LS12 2AY,Academy,201 to 300 pupils,0,0,0,15,13,28,11,10,21,29,29,58,53,48,101,0,0,0,0,0,0,0,0,0,108,100,181,27,208,194.5,118,56.7,103,56.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107877,2401,3832401,Ashfield Primary School,Primary,Primary,Community,State-funded primary,,Community school,,,,E14000780,Leeds North West,E05011549,Otley & Yeadon,LS21 2DF,LA Maintained,201 to 300 pupils,0,0,0,13,13,26,12,19,31,30,30,60,52,62,114,0,0,0,0,0,0,0,0,0,107,124,215,16,231,223,50,21.6,45,20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132795,2512,3832512,Asquith Primary School,Primary,Primary,Community,State-funded primary,,Community school,,,,E14000826,Morley and Outwood,E05011406,Morley North,LS27 9QY,LA Maintained,401 to 500 pupils,0,0,0,14,19,33,30,24,54,60,60,120,111,118,229,0,0,0,0,0,0,0,0,0,215,221,436,0,436,436,69,15.8,69,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146213,2463,3832463,Austhorpe Primary School,Primary,Primary,Academy & Free Schools,State-funded primary,Red Kite Learning Trust,Academy converter,,,,E14000778,Leeds East,E05013831,Temple Newsam,LS15 8TP,Academy,201 to 300 pupils,0,0,0,0,0,0,18,14,32,25,34,59,70,51,121,0,0,0,0,0,0,0,0,0,113,99,212,0,212,212,24,11.3,24,11.3,Awarded,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107901,2425,3832425,Bankside Primary School,Primary,Primary,Foundation,State-funded primary,Leeds Learning Alliance,Foundation school,,,,E14000778,Leeds East,E05011394,Gipton & Harehills,LS8 5AW,LA Maintained,601 to 700 pupils,7,4,11,52,43,95,28,50,78,64,103,167,148,190,338,0,0,0,0,0,0,0,0,0,299,390,617,72,689,653,200,29,198,32.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107868,2385,3832385,Bardsey Primary School,Primary,Primary,Foundation,State-funded primary,,Foundation school,,,,E14000689,Elmet and Rothwell,E05011396,Harewood,LS17 9DG,LA Maintained,101 to 200 pupils,0,0,0,0,0,0,13,14,27,32,23,55,60,50,110,0,0,0,0,0,0,0,0,0,105,87,192,0,192,192,10,5.2,10,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107987,3033,3833033,Barwick-in-Elmet Church of England Voluntary Controlled Primary School,Primary,Primary,Voluntary,State-funded primary,,Voluntary controlled school,,,,E14000689,Elmet and Rothwell,E05011396,Harewood,LS15 4HL,LA Maintained,201 to 300 pupils,0,0,0,9,14,23,9,15,24,28,30,58,63,53,116,0,0,0,0,0,0,0,0,0,109,112,198,23,221,209.5,20,9,18,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107920,2444,3832444,Beechwood Primary School,Primary,Primary,Foundation,State-funded primary,The Leeds East Primary Partnership,Foundation school,,,,E14000778,Leeds East,E05011400,Killingbeck & Seacroft,LS14 6QB,LA Maintained,401 to 500 pupils,0,0,0,29,27,56,29,31,60,58,61,119,115,123,238,0,0,0,0,0,0,0,0,0,231,242,462,11,473,467.5,207,43.8,206,44.6,Awarded,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107883,2407,3832407,Beecroft Primary School,Primary,Primary,Community,State-funded primary,,Community school,,,,E14000781,Leeds West,E05011402,Kirkstall,LS4 2TF,LA Maintained,301 to 400 pupils,0,0,0,17,18,35,24,20,44,30,58,88,76,86,162,0,0,0,0,0,0,0,0,0,147,182,321,8,329,325,56,17,56,17.4,Awarded,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108052,3913,3833913,Beeston Hill St Luke's Church of England Primary School,Primary,Primary,Voluntary,State-funded primary,,Voluntary aided school,,,,E14000777,Leeds Central,E05012647,Beeston & Holbeck,LS11 8ND,LA Maintained,401 to 500 pupils,0,0,0,26,34,60,21,39,60,69,53,122,93,131,224,0,0,0,0,0,0,0,0,0,209,257,406,60,466,436,115,24.7,115,28.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107946,2470,3832470,Beeston Primary School,Primary,Primary,Foundation,State-funded primary,,Foundation school,,,,E14000777,Leeds Central,E05012647,Beeston & Holbeck,LS11 8PN,LA Maintained,601 to 700 pupils,0,0,0,27,32,59,55,35,90,82,95,177,172,179,351,0,0,0,0,0,0,0,0,0,336,341,630,47,677,653.5,232,34.3,226,35.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108083,4106,3834106,Benton Park School,Secondary,Secondary,Community,State-funded secondary,,Community school,,,,E14000886,Pudsey,E05011395,Guiseley & Rawdon,LS19 6LX,LA Maintained,1501 to 1600 pupils,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388,437,825,229,234,463,116,140,256,733,811,1544,0,1544,1544,231,15,209,16.3,,,,,,,,,,,,,,,,,40,,,,50,,33,37,,,23,,,,82,,17,,,,,,,,,,3,,,,,11,,7,,,,,,,,,,17,,,,,,
107863,2369,3832369,Birchfield Primary School,Primary,Primary,Community,State-funded primary,,Community school,,,,E14000826,Morley and Outwood,E05011406,Morley North,LS27 7HU,LA Maintained,201 to 300 pupils,0,0,0,20,9,29,17,13,30,32,27,59,54,66,120,0,0,0,0,0,0,0,0,0,123,115,218,20,238,228,30,12.6,29,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144809,4076,3834076,Bishop Young Church of England Academy,Secondary,Secondary,Academy & Free Schools,State-funded secondary,Abbey Multi Academy Trust,Academy sponsor led,,,,E14000778,Leeds East,E05011400,Killingbeck & Seacroft,LS14 6NU,Academy,701 to 800 pupils,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,240,450,153,141,294,0,0,0,363,381,744,0,744,744,378,50.8,378,50.8,,,,,,,,,,,,,,,,,29,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146102,2025,3832025,Blackgates Primary Academy,Primary,Primary,Academy & Free Schools,State-funded primary,Leodis Academies Trust,Academy sponsor led,,,,E14000826,Morley and Outwood,E05011384,Ardsley & Robin Hood,WF3 1QQ,Academy,201 to 300 pupils,0,0,0,19,19,38,18,14,32,28,30,58,66,105,171,0,0,0,0,0,0,0,0,0,131,168,274,25,299,286.5,101,33.8,101,36.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107884,2408,3832408,Blenheim Primary School,Primary,Primary,Foundation,State-funded primary,The Lantern Learning Trust (Inner North West Leeds),Foundation school,,,,E14000777,Leeds Central,E05011403,Little London & Woodhouse,LS2 9EX,LA Maintained,401 to 500 pupils,0,0,0,26,32,58,29,31,60,72,46,118,115,123,238,0,0,0,0,0,0,0,0,0,242,232,451,23,474,462.5,168,35.4,161,35.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146217,4114,3834114,Boston Spa Academy,Secondary,Secondary,Academy & Free Schools,State-funded secondary,The Gorse Academies Trust,Academy converter,,,,E14000689,Elmet and Rothwell,E05011414,Wetherby,LS23 6RW,Academy,1301 to 1400 pupils,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372,386,758,199,214,413,110,81,191,681,681,1362,0,1362,1362,237,17.4,215,18.5,,,,,,,,,,,,,,,,,44,,,16,,1,16,,,,,,,,45,,,,,,,,,,,,9,,,,,5,,,,,,,,,,,,,,,,,,
107909,2433,3832433,Bracken Edge Primary School,Primary,Primary,Community,State-funded primary,,Community school,,,,E14000779,Leeds North East,E05011390,Chapel Allerton,LS7 4HE,LA Maintained,401 to 500 pupils,0,0,0,17,16,33,26,19,45,54,59,113,104,124,228,0,0,0,0,0,0,0,0,0,201,218,415,4,419,417,153,36.5,150,36.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107844,2329,3832329,Bramham Primary School,Primary,Primary,Community,State-funded primary,,Community school,,,,E14000689,Elmet and Rothwell,E05011414,Wetherby,LS23 6JQ,LA Maintained,101 to 200 pupils,0,0,0,0,0,0,10,14,24,23,39,62,46,61,107,0,0,0,0,0,0,0,0,0,79,114,193,0,193,193,11,5.7,11,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147554,2406,3832406,Bramhope Primary School,Primary,Primary,Academy & Free Schools,State-funded primary,Collaborative Learning Trust,Academy converter,,,,E14000780,Leeds North West,E05012841,Adel & Wharfedale,LS16 9BR,Academy,301 to 400 pupils,0,0,0,0,0,0,27,33,60,71,54,125,88,95,183,0,0,0,0,0,0,0,0,0,186,182,368,0,368,368,15,4.1,15,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146542,2030,3832030,Bramley Park Academy,Primary,Primary,Academy & Free Schools,State-funded primary,Wellspring Academy Trust,Academy sponsor led,,,,E14000781,Leeds West,E05011387,Bramley & Stanningley,LS13 3DP,Academy,201 to 300 pupils,0,0,0,6,4,10,15,22,37,31,26,57,83,85,168,0,0,0,0,0,0,0,0,0,135,137,263,9,272,267.5,164,60.3,159,60.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108003,3054,3833054,Bramley St Peter's Church of England Primary School,Primary,Primary,Voluntary,State-funded primary,,Voluntary aided school,,,,E14000781,Leeds West,E05011387,Bramley & Stanningley,LS13 3NE,LA Maintained,301 to 400 pupils,0,0,0,9,14,23,21,36,57,51,55,106,112,101,213,0,0,0,0,0,0,0,0,0,193,206,384,15,399,391.5,147,36.8,147,38.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143238,4113,3834113,Brigshaw High School and Language College,Secondary,Secondary,Academy & Free Schools,State-funded secondary,The Brigshaw Learning Partnership,Academy converter,,,,E14000689,Elmet and Rothwell,E05011401,Kippax & Methley,WF10 2HR,Academy,1401 to 1500 pupils,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375,404,779,205,232,437,101,89,190,681,725,1406,0,1406,1406,229,16.3,214,17.6,,,,,,,,,,,,,,,,,58,17,,,22,,,,,13,30,,,,50,,14,,,,,17,,,,,8,,,,11,,,,11,,,,,,,,,14,,6,,,,
107874,2398,3832398,Broadgate Primary School,Primary,Primary,Community,State-funded primary,,Community school,,,,E14000886,Pudsey,E05011547,Horsforth,LS18 5AF,LA Maintained,401 to 500 pupils,0,0,0,19,18,37,27,31,58,56,64,120,118,122,240,0,0,0,0,0,0,0,0,0,220,235,455,0,455,455,95,20.9,95,20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108054,3915,3833915,Brodetsky Primary School,Primary,Primary,Voluntary,State-funded primary,,Voluntary aided school,,,,E14000779,Leeds North East,E05012842,Alwoodley,LS17 7TN,LA Maintained,201 to 300 pupils,0,0,0,18,21,39,16,14,30,34,27,61,48,72,120,0,0,0,0,0,0,0,0,0,116,134,222,28,250,236,19,7.6,19,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108123,7062,3837062,Broomfield South SILC,N/A,N/A,Special School,State-funded special school,,Community special school,Yes,,,E14000777,Leeds Central,E05011404,Middleton Park,LS10 3JP,LA Maintained,201 to 300 pupils,0,0,0,0,0,0,1,2,3,6,9,15,13,24,37,11,41,52,14,39,53,22,42,64,67,157,224,0,224,224,130,58,92,57.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107885,2409,3832409,Brudenell Primary School,Primary,Primary,Foundation,State-funded primary,The Lantern Learning Trust (Inner North West Leeds),Foundation school,,,,E14000780,Leeds North West,E05011397,Headingley & Hyde Park,LS6 1EN,LA Maintained,201 to 300 pupils,0,0,0,15,6,21,9,16,25,35,33,68,70,81,151,0,0,0,0,0,0,0,0,0,129,136,265,0,265,265,70,26.4,70,26.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142056,4071,3834071,Bruntcliffe Academy,Secondary,Secondary,Academy & Free Schools,State-funded secondary,The Gorse Academies Trust,Academy sponsor led,,,,E14000826,Morley and Outwood,E05011407,Morley South,LS27 0LZ,Academy,1201 to 1300 pupils,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388,452,840,208,225,433,0,0,0,596,677,1273,0,1273,1273,300,23.6,300,23.6,,,,,,,,,,,,,,,,,,,36,25,49,,2,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108001,3052,3833052,Burley St Matthias Church of England Voluntary Controlled Primary School,Primary,Primary,Voluntary,State-funded primary,,Voluntary controlled school,,,,E14000781,Leeds West,E05011402,Kirkstall,LS4 2HY,LA Maintained,101 to 200 pupils,0,0,0,0,0,0,9,9,18,31,28,59,64,47,111,0,0,0,0,0,0,0,0,0,104,84,188,0,188,188,106,56.4,106,56.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107996,3046,3833046,Calverley Church of England Voluntary Aided Primary School,Primary,Primary,Voluntary,State-funded primary,,Voluntary aided school,,,,E14000886,Pudsey,E05011389,Calverley & Farsley,LS28 5NF,LA Maintained,401 to 500 pupils,0,0,0,0,0,0,34,26,60,59,61,120,125,112,237,0,0,0,0,0,0,0,0,0,218,199,417,0,417,417,22,5.3,22,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146540,2028,3832028,Calverley Parkside Primary School,Primary,Primary,Academy & Free Schools,State-funded primary,Owlcotes Multi Academy Trust,Academy sponsor led,,,,E14000886,Pudsey,E05011389,Calverley & Farsley,LS28 5PQ,Academy,201 to 300 pupils,0,0,0,18,18,36,17,13,30,24,32,56,60,63,123,0,0,0,0,0,0,0,0,0,119,126,204,41,245,224.5,21,8.6,20,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
