urn,estab,laestab,school_name,broad_phase_of_school,detailed_phase_school,type,phase_type_grouping,trust,typeofestablishment_name,special_school,alternative_provision,all_through_school,parl_con_code,parl_con_name,ward_code,ward_name,school_postcode,academy_flag,school_size,total_early_years_girls,total_early_years_boys,total_early_years_E1_and_E2,total_nursery_girls,total_nursery_boys,total_nursery_N1_and_N2,total_reception_girls,total_reception_boys,total_reception,KS1_girls,KS1_boys,KS1_total,KS2_girls,KS2_boys,KS2_total,KS3_girls,KS3_boys,KS3_total,KS4_girls,KS4_boys,KS4_total,KS5_girls,KS5_boys,KS5_total,total_girls,total_boys,total_fulltime,total_parttime,total_pupils,fte_pupils,number_pupils_eligible_FSMs,%_pupils_eligible_FSMs,number of pupils known to be eligible for free school meals (Performance Tables),%_ pupils_known_eligible_for_FSMs_performance_table,artsmark_progress,most_recent_award,artsaward,artsaward_combined_arts,artsaward_craft,artsaward_dance,artsaward_design,artsaward_film_video,artsaward_literature,artsaward_music,artsaward_photography,arts_award_technical_production,artsaward_theatre_drama,artsaward_visualarts,artsaward_other,KS4_technical_award_entries_art_design,KS4_GCSE_entries_art_design,KS4_GCSE_entries_art_design_3d,KS4_GCSE_entries_art_design_fineart,KS4_GCSE_entries_art_design_graphics,KS4_GCSE_entries_art_design_photography,KS4_GCSE_entries_art_design_textiles,KS4_GCSE_entries_d&t_food_tech,KS4_GCSE_entries_d&t,KS4_technical_entries_dance_general,KS4_GCSE_entries_dance,KS4_GCSE_entries_drama&theatre,KS4_technical_entries_engineeering,KS4_GCSE_entries_film_studies,KS4_technical_award_graphic_design,KS4_GCSE_entries_media_film_tv_studies,KS4_technical_award_entries_multimedia,KS4_GCSE_entries_music,music_performance_group_Grade6_Performing_Arts,music_performance_group_grade7_performing_arts,music_performance_group_grade8_performing_arts,KS4_technical_award_entries_music_studies_general,KS4_technical_award_entries_music_performance_group,KS4_technical_award_entries_music_tech_electronic,KS4_technical_award_entries_speech_and_drama,KS5_BTEC_certificate_art_design,KS5_BTEC_diploma_art_design,KS5_Alevel_art_design,KS5_Alevel_art_design_3D,KS5_Alevel_art_design_fine_art,KS5_Alevel_art_design_graphics,KS5_AS_art_design_photography,KS5_ALevel_art_design_photography,KS5_ALevel_art_design_textiles,KS5_ALevel_design_and_tech_product_design,KS5_ALevel_drama_and_theatre,KS5_Engineeering_OCR_technical_diploma,KS5_engineeering_OCR_extended_certificate,KS5_Engineeering_VRQ_level3,KS5_Engineeering_OCR_technical_foundation_diploma,KS5_ASLevel_film_studies,KS5_ALevel_film_studies,KS5_OCR_level3_multimedia,KS5_OCR_extended_level3_multimedia,KS5_ALevel_media_film_tv_studies,KS5_BTEC_Level3_music_performance_group,KS5_VRQ_Level3_music_performance_group,KS5_ASLevel_music,KS5_ALevel_music,KS5_ALevel_music_technology,KS5_BTEC_Level3_speech_and_drama_group
137083,5400,3835400,Abbey Grange Church of England Academy,Secondary,Secondary,Academy & Free Schools,State-funded secondary,Abbey Multi Academy Trust,Academy converter,,,,E14000781,Leeds West,E05011402,Kirkstall,LS16 5EA,Academy,1601 to 1700 pupils,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381,340,721,259,274,533,199,206,405,839,820,1659,0,1659,1659,291,17.5,217,17.3,,,,,,,,,,,,,,,,,,,41,,,,53,23,,,35,,,,,,20,,,,,,,,,,10,,,,10,8,,9,3,,,,,,,11,,11,,,,,,
107985,3030,3833030,Aberford Church of England Voluntary Controlled Primary School,Primary,Primary,Voluntary,State-funded primary,,Voluntary controlled school,,,,E14000689,Elmet and Rothwell,E05011396,Harewood,LS25 3BU,LA Maintained,101 to 200 pupils,0,0,0,0,0,0,8,7,15,15,15,30,28,34,62,0,0,0,0,0,0,0,0,0,51,56,107,0,107,107,17,15.9,17,15.9,Working towards,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107892,2416,3832416,Adel Primary School,Primary,Primary,Community,State-funded primary,,Community school,,,,E14000780,Leeds North West,E05012841,Adel & Wharfedale,LS16 8DY,LA Maintained,201 to 300 pupils,0,0,0,10,15,25,9,19,28,27,34,61,64,56,120,0,0,0,0,0,0,0,0,0,110,124,233,1,234,233.5,23,9.8,23,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108041,3902,3833902,Adel St John the Baptist Church of England Primary School,Primary,Primary,Voluntary,State-funded primary,,Voluntary aided school,,,,E14000780,Leeds North West,E05012841,Adel & Wharfedale,LS16 8EX,LA Maintained,201 to 300 pupils,0,0,0,0,0,0,14,14,28,28,32,60,58,61,119,0,0,0,0,0,0,0,0,0,100,107,207,0,207,207,22,10.6,22,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147945,2034,3832034,Alder Tree Primary Academy,Primary,Primary,Academy & Free Schools,State-funded primary,White Rose Academies Trust,Academy sponsor led,,,,E14000779,Leeds North East,E05011390,Chapel Allerton,LS7 2DR,Academy,301 to 400 pupils,0,0,0,11,10,21,20,14,34,34,33,67,100,95,195,0,0,0,0,0,0,0,0,0,165,152,296,21,317,306.5,142,44.8,142,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108048,3909,3833909,All Saint's Richmond Hill Church of England Primary School,Primary,Primary,Voluntary,State-funded primary,,Voluntary aided school,,,,E14000777,Leeds Central,E05011388,Burmantofts & Richmond Hill,LS9 9AD,LA Maintained,201 to 300 pupils,0,0,0,23,23,46,14,16,30,31,28,59,50,68,118,0,0,0,0,0,0,0,0,0,118,135,220,33,253,236.5,134,53,117,53.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143242,2507,3832507,Allerton Bywater Primary School,Primary,Primary,Academy & Free Schools,State-funded primary,The Brigshaw Learning Partnership,Academy converter,,,,E14000689,Elmet and Rothwell,E05011401,Kippax & Methley,WF10 2DR,Academy,401 to 500 pupils,0,0,0,22,29,51,18,21,39,61,53,114,107,118,225,0,0,0,0,0,0,0,0,0,208,221,397,32,429,413,86,20,82,20.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135210,3931,3833931,Allerton Church Of England Primary School,Primary,Primary,Voluntary,State-funded primary,,Voluntary controlled school,,,,E14000779,Leeds North East,E05012842,Alwoodley,LS17 7HL,LA Maintained,701 to 800 pupils,0,0,0,45,41,86,42,37,79,72,108,180,171,187,358,0,0,0,0,0,0,0,0,0,330,373,649,54,703,676,182,25.9,179,27.6,Awarded,Platinum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108058,4040,3834040,Allerton Grange School,Secondary,Secondary,Community,State-funded secondary,,Community school,,,,E14000779,Leeds North East,E05011411,Roundhay,LS17 6SF,LA Maintained,1701 pupils and over,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428,477,905,263,279,542,137,127,264,828,883,1711,0,1711,1711,417,24.4,361,25,,,,,,,,,,,,,,,,,,29,26,,15,1,,,,,15,,,,,,,,,,,,,,,,,9,4,,,2,,,5,,,,,,,,,,,,,,,
108057,4032,3834032,Allerton High Business and Enterprise Specialist School,Secondary,Secondary,Community,State-funded secondary,,Community school,,,,E14000779,Leeds North East,E05012842,Alwoodley,LS17 7AG,LA Maintained,1501 to 1600 pupils,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376,387,763,205,240,445,194,198,392,775,825,1600,0,1600,1600,280,17.5,231,19.1,,,YES,YES,,,,,,,,,,,,,14,,24,,20,2,29,,,,16,,,,,,,,,,9,,,,,,1,3,7,,,4,1,,2,,,,,,,27,26,,9,,,,,
