time_period,time_identifier,geographic_level,country_code,country_name,version,establishment_type,gender,subject,total_exam_entries,grade,percentage_achieving
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,All Subjects,2381751,91AstarG,96.8
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,All Subjects,2354728,91AstarG,97.8
202223,Academic year,National,E92000001,England,Revised,All schools,Total,All Subjects,4736479,91AstarG,97.3
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,All Subjects,2381751,94AstarC,67.7
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,All Subjects,2354728,94AstarC,74.8
202223,Academic year,National,E92000001,England,Revised,All schools,Total,All Subjects,4736479,94AstarC,71.3
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,All Subjects,2381751,97AstarA,20.9
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,All Subjects,2354728,97AstarA,27.1
202223,Academic year,National,E92000001,England,Revised,All schools,Total,All Subjects,4736479,97AstarA,24
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,All Subjects,2381751,9 to 5,z
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,All Subjects,2354728,9 to 5,z
202223,Academic year,National,E92000001,England,Revised,All schools,Total,All Subjects,4736479,9 to 5,z
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,All Subjects,2381751,9,z
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,All Subjects,2354728,9,z
202223,Academic year,National,E92000001,England,Revised,All schools,Total,All Subjects,4736479,9,z
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,All Subjects,2381751,8,z
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,All Subjects,2354728,8,z
202223,Academic year,National,E92000001,England,Revised,All schools,Total,All Subjects,4736479,8,z
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,All Subjects,2381751,7,z
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,All Subjects,2354728,7,z
202223,Academic year,National,E92000001,England,Revised,All schools,Total,All Subjects,4736479,7,z
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,All Subjects,2381751,6,z
