time_period,time_identifier,geographic_level,country_code,country_name,version,establishment_type,gender,subject,total_exam_entries,grade,percentage_achieving
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,All Subjects,2354728,6,z
202223,Academic year,National,E92000001,England,Revised,All schools,Total,All Subjects,4736479,6,z
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,All Subjects,2381751,5,z
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,All Subjects,2354728,5,z
202223,Academic year,National,E92000001,England,Revised,All schools,Total,All Subjects,4736479,5,z
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,All Subjects,2381751,4,z
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,All Subjects,2354728,4,z
202223,Academic year,National,E92000001,England,Revised,All schools,Total,All Subjects,4736479,4,z
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,All Subjects,2381751,3,z
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,All Subjects,2354728,3,z
202223,Academic year,National,E92000001,England,Revised,All schools,Total,All Subjects,4736479,3,z
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,All Subjects,2381751,2,z
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,All Subjects,2354728,2,z
202223,Academic year,National,E92000001,England,Revised,All schools,Total,All Subjects,4736479,2,z
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,All Subjects,2381751,1,z
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,All Subjects,2354728,1,z
202223,Academic year,National,E92000001,England,Revised,All schools,Total,All Subjects,4736479,1,z
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,All Subjects,2381751,99,z
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,All Subjects,2354728,99,z
202223,Academic year,National,E92000001,England,Revised,All schools,Total,All Subjects,4736479,99,z
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,All Subjects,2381751,98,z
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,All Subjects,2354728,98,z
202223,Academic year,National,E92000001,England,Revised,All schools,Total,All Subjects,4736479,98,z
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,All Subjects,2381751,88,z
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,All Subjects,2354728,88,z
202223,Academic year,National,E92000001,England,Revised,All schools,Total,All Subjects,4736479,88,z
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,All Subjects,2381751,87,z
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,All Subjects,2354728,87,z
202223,Academic year,National,E92000001,England,Revised,All schools,Total,All Subjects,4736479,87,z
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,All Subjects,2381751,77,z
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,All Subjects,2354728,77,z
202223,Academic year,National,E92000001,England,Revised,All schools,Total,All Subjects,4736479,77,z
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,All Subjects,2381751,76,z
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,All Subjects,2354728,76,z
202223,Academic year,National,E92000001,England,Revised,All schools,Total,All Subjects,4736479,76,z
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,All Subjects,2381751,66,z
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,All Subjects,2354728,66,z
202223,Academic year,National,E92000001,England,Revised,All schools,Total,All Subjects,4736479,66,z
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,All Subjects,2381751,65,z
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,All Subjects,2354728,65,z
202223,Academic year,National,E92000001,England,Revised,All schools,Total,All Subjects,4736479,65,z
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,All Subjects,2381751,55,z
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,All Subjects,2354728,55,z
202223,Academic year,National,E92000001,England,Revised,All schools,Total,All Subjects,4736479,55,z
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,All Subjects,2381751,54,z
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,All Subjects,2354728,54,z
202223,Academic year,National,E92000001,England,Revised,All schools,Total,All Subjects,4736479,54,z
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,All Subjects,2381751,44,z
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,All Subjects,2354728,44,z
202223,Academic year,National,E92000001,England,Revised,All schools,Total,All Subjects,4736479,44,z
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,All Subjects,2381751,43,z
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,All Subjects,2354728,43,z
202223,Academic year,National,E92000001,England,Revised,All schools,Total,All Subjects,4736479,43,z
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,All Subjects,2381751,33,z
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,All Subjects,2354728,33,z
202223,Academic year,National,E92000001,England,Revised,All schools,Total,All Subjects,4736479,33,z
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,All Subjects,2381751,32,z
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,All Subjects,2354728,32,z
202223,Academic year,National,E92000001,England,Revised,All schools,Total,All Subjects,4736479,32,z
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,All Subjects,2381751,22,z
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,All Subjects,2354728,22,z
202223,Academic year,National,E92000001,England,Revised,All schools,Total,All Subjects,4736479,22,z
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,All Subjects,2381751,21,z
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,All Subjects,2354728,21,z
202223,Academic year,National,E92000001,England,Revised,All schools,Total,All Subjects,4736479,21,z
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,All Subjects,2381751,11,z
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,All Subjects,2354728,11,z
202223,Academic year,National,E92000001,England,Revised,All schools,Total,All Subjects,4736479,11,z
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,All Subjects,2381751,Astar,z
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,All Subjects,2354728,Astar,z
202223,Academic year,National,E92000001,England,Revised,All schools,Total,All Subjects,4736479,Astar,z
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,All Subjects,2381751,A,z
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,All Subjects,2354728,A,z
202223,Academic year,National,E92000001,England,Revised,All schools,Total,All Subjects,4736479,A,z
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,All Subjects,2381751,B,z
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,All Subjects,2354728,B,z
202223,Academic year,National,E92000001,England,Revised,All schools,Total,All Subjects,4736479,B,z
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,All Subjects,2381751,C,z
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,All Subjects,2354728,C,z
202223,Academic year,National,E92000001,England,Revised,All schools,Total,All Subjects,4736479,C,z
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,All Subjects,2381751,D,z
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,All Subjects,2354728,D,z
202223,Academic year,National,E92000001,England,Revised,All schools,Total,All Subjects,4736479,D,z
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,All Subjects,2381751,E,z
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,All Subjects,2354728,E,z
202223,Academic year,National,E92000001,England,Revised,All schools,Total,All Subjects,4736479,E,z
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,All Subjects,2381751,F,z
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,All Subjects,2354728,F,z
202223,Academic year,National,E92000001,England,Revised,All schools,Total,All Subjects,4736479,F,z
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,All Subjects,2381751,G,z
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,All Subjects,2354728,G,z
202223,Academic year,National,E92000001,England,Revised,All schools,Total,All Subjects,4736479,G,z
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,All Subjects,2381751,Covid impacted,z
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,All Subjects,2354728,Covid impacted,z
202223,Academic year,National,E92000001,England,Revised,All schools,Total,All Subjects,4736479,Covid impacted,z
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,Ancient History,675,91AstarG,90.5
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,Ancient History,544,91AstarG,93
202223,Academic year,National,E92000001,England,Revised,All schools,Total,Ancient History,1219,91AstarG,91.6
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,Ancient History,675,94AstarC,71.7
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,Ancient History,544,94AstarC,71
202223,Academic year,National,E92000001,England,Revised,All schools,Total,Ancient History,1219,94AstarC,71.4
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,Ancient History,675,97AstarA,43
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,Ancient History,544,97AstarA,36.6
202223,Academic year,National,E92000001,England,Revised,All schools,Total,Ancient History,1219,97AstarA,40.1
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,Ancient History,675,9 to 5,63
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,Ancient History,544,9 to 5,60.7
202223,Academic year,National,E92000001,England,Revised,All schools,Total,Ancient History,1219,9 to 5,61.9
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,Ancient History,675,9,15.9
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,Ancient History,544,9,9.7
202223,Academic year,National,E92000001,England,Revised,All schools,Total,Ancient History,1219,9,13.1
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,Ancient History,675,8,13.5
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,Ancient History,544,8,12.9
202223,Academic year,National,E92000001,England,Revised,All schools,Total,Ancient History,1219,8,13.2
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,Ancient History,675,7,13.6
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,Ancient History,544,7,14
202223,Academic year,National,E92000001,England,Revised,All schools,Total,Ancient History,1219,7,13.8
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,Ancient History,675,6,10.5
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,Ancient History,544,6,13.6
202223,Academic year,National,E92000001,England,Revised,All schools,Total,Ancient History,1219,6,11.9
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,Ancient History,675,5,9.5
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,Ancient History,544,5,10.5
202223,Academic year,National,E92000001,England,Revised,All schools,Total,Ancient History,1219,5,9.9
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,Ancient History,675,4,8.7
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,Ancient History,544,4,10.3
202223,Academic year,National,E92000001,England,Revised,All schools,Total,Ancient History,1219,4,9.4
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,Ancient History,675,3,7.4
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,Ancient History,544,3,8.6
202223,Academic year,National,E92000001,England,Revised,All schools,Total,Ancient History,1219,3,8
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,Ancient History,675,2,6.5
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,Ancient History,544,2,8.3
202223,Academic year,National,E92000001,England,Revised,All schools,Total,Ancient History,1219,2,7.3
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,Ancient History,675,1,4.9
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,Ancient History,544,1,5.1
202223,Academic year,National,E92000001,England,Revised,All schools,Total,Ancient History,1219,1,5
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,Ancient History,675,Covid impacted,0
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,Ancient History,544,Covid impacted,0.2
202223,Academic year,National,E92000001,England,Revised,All schools,Total,Ancient History,1219,Covid impacted,0.1
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,Arabic,2123,91AstarG,88.4
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,Arabic,2390,91AstarG,90
202223,Academic year,National,E92000001,England,Revised,All schools,Total,Arabic,4513,91AstarG,89.2
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,Arabic,2123,94AstarC,75.2
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,Arabic,2390,94AstarC,81.6
202223,Academic year,National,E92000001,England,Revised,All schools,Total,Arabic,4513,94AstarC,78.6
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,Arabic,2123,97AstarA,47
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,Arabic,2390,97AstarA,54.4
202223,Academic year,National,E92000001,England,Revised,All schools,Total,Arabic,4513,97AstarA,50.9
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,Arabic,2123,9 to 5,67.6
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,Arabic,2390,9 to 5,74.2
202223,Academic year,National,E92000001,England,Revised,All schools,Total,Arabic,4513,9 to 5,71.1
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,Arabic,2123,9,23.2
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,Arabic,2390,9,27.3
202223,Academic year,National,E92000001,England,Revised,All schools,Total,Arabic,4513,9,25.4
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,Arabic,2123,8,11.9
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,Arabic,2390,8,14.7
202223,Academic year,National,E92000001,England,Revised,All schools,Total,Arabic,4513,8,13.4
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,Arabic,2123,7,11.9
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,Arabic,2390,7,12.4
202223,Academic year,National,E92000001,England,Revised,All schools,Total,Arabic,4513,7,12.2
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,Arabic,2123,6,8.5
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,Arabic,2390,6,8.3
202223,Academic year,National,E92000001,England,Revised,All schools,Total,Arabic,4513,6,8.4
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,Arabic,2123,5,12.1
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,Arabic,2390,5,11.5
202223,Academic year,National,E92000001,England,Revised,All schools,Total,Arabic,4513,5,11.8
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,Arabic,2123,4,7.6
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,Arabic,2390,4,7.4
202223,Academic year,National,E92000001,England,Revised,All schools,Total,Arabic,4513,4,7.5
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,Arabic,2123,3,6.2
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,Arabic,2390,3,3.6
202223,Academic year,National,E92000001,England,Revised,All schools,Total,Arabic,4513,3,4.8
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,Arabic,2123,2,3.8
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,Arabic,2390,2,2.5
202223,Academic year,National,E92000001,England,Revised,All schools,Total,Arabic,4513,2,3.1
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,Arabic,2123,1,3.2
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,Arabic,2390,1,2.3
202223,Academic year,National,E92000001,England,Revised,All schools,Total,Arabic,4513,1,2.7
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,Arabic,2123,Covid impacted,5.4
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,Arabic,2390,Covid impacted,6.4
202223,Academic year,National,E92000001,England,Revised,All schools,Total,Arabic,4513,Covid impacted,5.9
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,Art and Design,63164,91AstarG,98.2
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,Art and Design,120120,91AstarG,98.9
202223,Academic year,National,E92000001,England,Revised,All schools,Total,Art and Design,183284,91AstarG,98.7
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,Art and Design,63164,94AstarC,63
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,Art and Design,120120,94AstarC,82.4
202223,Academic year,National,E92000001,England,Revised,All schools,Total,Art and Design,183284,94AstarC,75.7
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,Art and Design,63164,97AstarA,12.6
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,Art and Design,120120,97AstarA,29.9
202223,Academic year,National,E92000001,England,Revised,All schools,Total,Art and Design,183284,97AstarA,24
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,Art and Design,63164,9 to 5,43
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,Art and Design,120120,9 to 5,68.3
202223,Academic year,National,E92000001,England,Revised,All schools,Total,Art and Design,183284,9 to 5,59.5
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,Art and Design,63164,9,2.7
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,Art and Design,120120,9,7.3
202223,Academic year,National,E92000001,England,Revised,All schools,Total,Art and Design,183284,9,5.7
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,Art and Design,63164,8,3.6
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,Art and Design,120120,8,9.3
202223,Academic year,National,E92000001,England,Revised,All schools,Total,Art and Design,183284,8,7.3
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,Art and Design,63164,7,6.3
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,Art and Design,120120,7,13.3
202223,Academic year,National,E92000001,England,Revised,All schools,Total,Art and Design,183284,7,10.9
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,Art and Design,63164,6,12.5
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,Art and Design,120120,6,19.6
202223,Academic year,National,E92000001,England,Revised,All schools,Total,Art and Design,183284,6,17.2
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,Art and Design,63164,5,18
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,Art and Design,120120,5,18.7
202223,Academic year,National,E92000001,England,Revised,All schools,Total,Art and Design,183284,5,18.4
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,Art and Design,63164,4,20
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,Art and Design,120120,4,14.2
202223,Academic year,National,E92000001,England,Revised,All schools,Total,Art and Design,183284,4,16.2
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,Art and Design,63164,3,19.6
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,Art and Design,120120,3,10.3
202223,Academic year,National,E92000001,England,Revised,All schools,Total,Art and Design,183284,3,13.5
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,Art and Design,63164,2,10.8
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,Art and Design,120120,2,4.5
202223,Academic year,National,E92000001,England,Revised,All schools,Total,Art and Design,183284,2,6.7
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,Art and Design,63164,1,4.8
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,Art and Design,120120,1,1.7
202223,Academic year,National,E92000001,England,Revised,All schools,Total,Art and Design,183284,1,2.8
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,Art and Design,63164,Covid impacted,0.2
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,Art and Design,120120,Covid impacted,0.1
202223,Academic year,National,E92000001,England,Revised,All schools,Total,Art and Design,183284,Covid impacted,0.2
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,Biblical Hebrew,164,91AstarG,78
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,Biblical Hebrew,422,91AstarG,98.1
202223,Academic year,National,E92000001,England,Revised,All schools,Total,Biblical Hebrew,586,91AstarG,92.5
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,Biblical Hebrew,164,94AstarC,65.9
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,Biblical Hebrew,422,94AstarC,90
202223,Academic year,National,E92000001,England,Revised,All schools,Total,Biblical Hebrew,586,94AstarC,83.3
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,Biblical Hebrew,164,97AstarA,36
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,Biblical Hebrew,422,97AstarA,57.1
202223,Academic year,National,E92000001,England,Revised,All schools,Total,Biblical Hebrew,586,97AstarA,51.2
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,Biblical Hebrew,164,9 to 5,58.5
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,Biblical Hebrew,422,9 to 5,82.5
202223,Academic year,National,E92000001,England,Revised,All schools,Total,Biblical Hebrew,586,9 to 5,75.8
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,Biblical Hebrew,164,9,11.6
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,Biblical Hebrew,422,9,20.1
202223,Academic year,National,E92000001,England,Revised,All schools,Total,Biblical Hebrew,586,9,17.7
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,Biblical Hebrew,164,8,14
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,Biblical Hebrew,422,8,17.8
202223,Academic year,National,E92000001,England,Revised,All schools,Total,Biblical Hebrew,586,8,16.7
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,Biblical Hebrew,164,7,10.4
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,Biblical Hebrew,422,7,19.2
202223,Academic year,National,E92000001,England,Revised,All schools,Total,Biblical Hebrew,586,7,16.7
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,Biblical Hebrew,164,6,12.8
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,Biblical Hebrew,422,6,14.9
202223,Academic year,National,E92000001,England,Revised,All schools,Total,Biblical Hebrew,586,6,14.3
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,Biblical Hebrew,164,5,9.8
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,Biblical Hebrew,422,5,10.4
202223,Academic year,National,E92000001,England,Revised,All schools,Total,Biblical Hebrew,586,5,10.2
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,Biblical Hebrew,164,4,7.3
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,Biblical Hebrew,422,4,7.6
202223,Academic year,National,E92000001,England,Revised,All schools,Total,Biblical Hebrew,586,4,7.5
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,Biblical Hebrew,164,3,6.1
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,Biblical Hebrew,422,3,3.3
202223,Academic year,National,E92000001,England,Revised,All schools,Total,Biblical Hebrew,586,3,4.1
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,Biblical Hebrew,164,2,2.4
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,Biblical Hebrew,422,2,2.1
202223,Academic year,National,E92000001,England,Revised,All schools,Total,Biblical Hebrew,586,2,2.2
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,Biblical Hebrew,164,1,3.7
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,Biblical Hebrew,422,1,2.6
202223,Academic year,National,E92000001,England,Revised,All schools,Total,Biblical Hebrew,586,1,2.9
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,Biblical Hebrew,164,Covid impacted,19.5
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,Biblical Hebrew,422,Covid impacted,0
202223,Academic year,National,E92000001,England,Revised,All schools,Total,Biblical Hebrew,586,Covid impacted,5.5
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,Biology,89373,91AstarG,98.9
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,Biology,85977,91AstarG,99
202223,Academic year,National,E92000001,England,Revised,All schools,Total,Biology,175350,91AstarG,98.9
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,Biology,89373,94AstarC,89.1
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,Biology,85977,94AstarC,90.5
202223,Academic year,National,E92000001,England,Revised,All schools,Total,Biology,175350,94AstarC,89.8
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,Biology,89373,97AstarA,40.2
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,Biology,85977,97AstarA,45.7
202223,Academic year,National,E92000001,England,Revised,All schools,Total,Biology,175350,97AstarA,42.9
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,Biology,89373,9 to 5,78.6
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,Biology,85977,9 to 5,81.3
202223,Academic year,National,E92000001,England,Revised,All schools,Total,Biology,175350,9 to 5,80
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,Biology,89373,9,11.6
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,Biology,85977,9,14.4
202223,Academic year,National,E92000001,England,Revised,All schools,Total,Biology,175350,9,13
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,Biology,89373,8,12.8
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,Biology,85977,8,14.6
202223,Academic year,National,E92000001,England,Revised,All schools,Total,Biology,175350,8,13.7
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,Biology,89373,7,15.8
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,Biology,85977,7,16.7
202223,Academic year,National,E92000001,England,Revised,All schools,Total,Biology,175350,7,16.2
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,Biology,89373,6,21.4
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,Biology,85977,6,20.1
202223,Academic year,National,E92000001,England,Revised,All schools,Total,Biology,175350,6,20.7
202223,Academic year,National,E92000001,England,Revised,All schools,Boys,Biology,89373,5,17.1
202223,Academic year,National,E92000001,England,Revised,All schools,Girls,Biology,85977,5,15.6
202223,Academic year,National,E92000001,England,Revised,All schools,Total,Biology,175350,5,16.3
