time_period,time_identifier,geographic_level,country_code,country_name,data_version,subject_name,characteristic_value,perc_astar_grade_achieved,perc_astar_a_grade_achieved,perc_astar_b_grade_achieved,perc_astar_c_grade_achieved,perc_astar_d_grade_achieved,perc_astar_e_grade_achieved,entry_count
199596,Academic year,National,E92000001,England,Final,Accounting and finance,All students,z,9,25,36,50,62,2042
199697,Academic year,National,E92000001,England,Final,Accounting and finance,All students,z,9,23,37,50,64,1923
199798,Academic year,National,E92000001,England,Final,Accounting and finance,All students,z,9,24,38,52,66,1869
199899,Academic year,National,E92000001,England,Final,Accounting and finance,All students,z,9,26,42,57,70,1999
199900,Academic year,National,E92000001,England,Final,Accounting and finance,All students,z,9,24,41,57,70,1944
200001,Academic year,National,E92000001,England,Final,Accounting and finance,All students,z,10,27,43,60,73,1956
200102,Academic year,National,E92000001,England,Final,Accounting and finance,All students,z,12,27,44,65,85,2138
200203,Academic year,National,E92000001,England,Final,Accounting and finance,All students,z,12,28,47,69,89,2371
200304,Academic year,National,E92000001,England,Final,Accounting and finance,All students,z,12,28,49,71,90,2660
200405,Academic year,National,E92000001,England,Final,Accounting and finance,All students,z,12,32,54,77,92,2822
200506,Academic year,National,E92000001,England,Final,Accounting and finance,All students,z,12,30,54,76,93,3058
200607,Academic year,National,E92000001,England,Final,Accounting and finance,All students,z,12,32,56,77,93,3270
200708,Academic year,National,E92000001,England,Final,Accounting and finance,All students,z,14,34,58,80,95,3532
200809,Academic year,National,E92000001,England,Final,Accounting and finance,All students,z,13,36,60,82,95,3658
200910,Academic year,National,E92000001,England,Final,Accounting and finance,All students,2,15,37,63,84,96,3808
201011,Academic year,National,E92000001,England,Final,Accounting and finance,All students,2,14,36,61,83,97,3495
201112,Academic year,National,E92000001,England,Final,Accounting and finance,All students,2,14,36,63,84,96,3305
201213,Academic year,National,E92000001,England,Final,Accounting and finance,All students,2,15,38,64,84,96,3118
201314,Academic year,National,E92000001,England,Final,Accounting and finance,All students,2,13,36,61,81,95,2748
201415,Academic year,National,E92000001,England,Final,Accounting and finance,All students,1,13,35,61,82,96,2529
201516,Academic year,National,E92000001,England,Final,Accounting and finance,All students,2,14,38,64,84,96,2342
201617,Academic year,National,E92000001,England,Final,Accounting and finance,All students,3,17,41,66,86,97,2283
201718,Academic year,National,E92000001,England,Revised,Accounting and finance,All students,2.3,14.8,38.4,61.8,83.5,95.6,2218
201819,Academic year,National,E92000001,England,Revised,Accounting and finance,All students,1.1,12.5,31.6,58.1,80.7,93.7,2152
201920,Academic year,National,E92000001,England,Final,Accounting and finance,All students,5.3,22.2,47.4,74.4,91.5,99,2106
202021,Academic year,National,E92000001,England,Final,Accounting and finance,All students,9.4,28.8,53.1,76.3,90.8,98.5,2186
202122,Academic year,National,E92000001,England,Revised,Accounting and finance,All students,6.2,21.5,44,68.3,86.1,95.8,2220
202223,Academic year,National,E92000001,England,Revised,Accounting and finance,All students,1.7,14.2,35.4,59.9,79.9,94.4,2150
199596,Academic year,National,E92000001,England,Final,Accounting and finance,Female,z,9,24,36,50,63,786
199697,Academic year,National,E92000001,England,Final,Accounting and finance,Female,z,9,23,39,52,65,739
199798,Academic year,National,E92000001,England,Final,Accounting and finance,Female,z,12,28,40,52,65,720
199899,Academic year,National,E92000001,England,Final,Accounting and finance,Female,z,11,27,45,61,74,796
