Headlines,Percent,Units,Note
Trusts and foundations,63,%,of schools said they received additional funding from trusts and foundations. 
Leeds City Council,88,%,of schools said they received additional funding from Leeds City Council.
Fundraising events or activities,38,%,of schools said they received additional funding from fundraising activities.
Parents,25,%,of schools said they received additional funding from parent contributions.
Other sources,13,%,of schools said they received additional funding from other sources not mentioned.
