Role,Overall (%),Primary (%),Secondary (%),Special School (%),Other (%)
Curriculum leader,18,10,40,0,0
Arts subject lead,41,50,20,67,0
Senior Leadership Team,38,35,40,33,100
Other,3,5,0,0,0
