Headlines,Percent,Units,Note
Overall,74,%,of schools said they have a particular commitment to pupil entitlement in the arts
Primary schools,95,%,of primary schools have a commitment to the arts - almost 3x more than secondary schools
Secondary schools,35,%,of secondary schools have a commitment to pupil entitlement in the arts.
