School phase,Total number,Responses from this type of school,No responses from schools of this phase,Percentage of this type of school responding
Primary,227,20,207,8.8
Secondary,43,11,32,25.6
Through,9,1,8,11.1
16+,1,0,1,0.00
Other,14,3,11,21.4
