Activity,Overall (%),Primary (%),Secondary (%)
"An annual concert, play or show",91,95,90
"Arts within school assemblies",65,70,40
"Other non-curriculum art activities",68,65,70
"Talent competition",44,40,60
"Off timetable days/weeks\nfocused on arts (arts week)",68,80,30
"Don't know",3,0,10
