Headlines,Percent,Units,Note
Arts commitment,74,%,of survey respondents said their school had a commitment to pupil entitlement in the arts
Additional funding,27,%,said they seek additional funding for arts trips outside the school
Local arts partnerships,80,%,primary schools have a partnership with local arts organisations
Local schools partnerships,40,%,have partnerships with other local schools to support the arts curriculum.
Sign-posting opportunities,74,%,actively sign-post arts opportunities for pupils to develop creative skills
Local arts programmes,15,%,of schools said they are part of a local/community-based arts programme.
