Headlines,Percent,Units,Note
Primary schools,80,%, said they have a partnership with a local (professional) arts organisation.
Secondary schools,40,%,said they have a partnership with a local (professional) arts organisation.
Special schools,33,%,said they have a partnership with a local (professional) arts organisation.
