Facilities,Overall,Primary,Secondary,Special School,Other
Musical instrument lessons – group or individual,76,65,100,67,100
Orchestras/ensembles/bands or other music groups,59,55,80,33,0
Choirs/vocal ensemble,82,85,90,33,100
Dance groups,56,70,30,33,100
Drama groups,41,20,90,0,100
D&T groups,32,10,70,33,100
Digital media groups,15,10,20,0,100
Art groups,59,55,70,33,100
Other,15,0,40,33,0
No extra-curricular arts activities,3,0,0,33,0
