Response,Theatre,Concerts,Cinema,Gallery,Dance,Museum,Herritage,Gaming,Library,Community
Key Stage 1,27,9,29,30,0,60,50,0,87,50
Key Stage 2,41,55,43,75,40,75,90,100,73,90
Key Stage 3,32,36,43,15,60,10,10,33,7,30
Key Stage 4,55,45,43,20,40,20,20,0,7,30
Key Stage 5,27,27,7,20,0,10,10,0,0,10
