title,value
Date build,2024-07-11
Earliest date,2022-11-01
Engagements with pupils not assigned to ward,2860
Engagements with schools not assigned to ward,23
Percentage of Leeds schools engaged,77.55%
Schools in Leeds,294
Schools not assigned to ward,31
Total pupil engagements,35376
Total school engagements,501
Unique schools,228
