school_name,count_of_engagements,ward_name,ward_code
Carr Manor Community School,9,Moortown,E05011405
John Smeaton Academy,9,Cross Gates and Whinmoor,E05011391
Notre Dame Catholic Sixth Form College,8,Little London and Woodhouse,E05011403
Cookridge Primary School,8,Weetwood,E05011413
"St Francis Catholic Primary School, Morley",7,Morley South,E05011407
Cockburn John Charles Academy,7,Middleton Park,E05011404
Rosebank Primary School,7,Little London and Woodhouse,E05011403
Temple Learning Academy,6,Temple Newsam,E05013831
St Margaret's Church of England Voluntary Controlled Primary School,6,Horsforth,E05011547
Beechwood Primary School,6,Killingbeck and Seacroft,E05011400
Moor Allerton Hall Primary School,6,Moortown,E05011405
Leeds City College,5,Little London and Woodhouse,E05011403
Manor Wood Primary School,5,Moortown,E05011405
Pool-in-Wharfedale Church of England Voluntary Controlled Primary School,5,Adel and Wharfedale,E05012841
Chapel Allerton Primary School,5,Chapel Allerton,E05011390
Cockburn School,5,Beeston and Holbeck,E05012647
East SILC John Jamieson,5,Roundhay,E05011411
Whinmoor St Paul's Church of England Primary School,5,Armley,E05011385
Middleton Primary School,4,Middleton Park,E05011404
Greenmount Primary School,4,Beeston and Holbeck,E05012647
Lawnswood School,4,Weetwood,E05011413
St Bartholomew's CofE Voluntary Controlled Primary School,4,Armley,E05011385
Westgate Primary School,4,Otley and Yeadon,E05011549
Strawberry Fields Primary School,4,Garforth and Swillington,E05013830
Birchfield Primary School,4,Morley North,E05011406
Morley Victoria Primary School,4,Morley North,E05011406
Clapgate Primary School,4,Middleton Park,E05011404
Bishop Young Church of England Academy,4,Killingbeck and Seacroft,E05011400
St Patrick Catholic Primary School,4,Burmantofts and Richmond Hill,E05011388
The New Bewerley Community Primary School,4,Beeston and Holbeck,E05012647
Churwell Primary School,4,Morley North,E05011406
Adel Primary School,4,Adel and Wharfedale,E05012841
Trinity Academy Leeds,4,Burmantofts and Richmond Hill,E05011388
Pudsey Primrose Hill Primary School,4,Bramley and Stanningley,E05011387
Cobden Primary School,4,Farnley and Wortley,E05012648
Lawns Park Primary School,4,Farnley and Wortley,E05012648
