title,value,note
Total engagements,54,Number of unique young people involved
2022 Youth Summit,8,Young leaders co-produced a Youth Summit in 2022
The WOW Barn Festival,8,"WOWsers learned about art and activism developing events for the festival"
Music workshops,11,Early-career promoters gained skills and experience through projects
Lift the Lid,23,"Young people took part, learning skills in media and podcasting"
Children's Day Reimagined,11,Young creatives collaborated for the event
Grants Scheme,4,Young people designed a grants scheme for young people
