Headlines,Percent,Units,Note
Arts commitment,74,%,of schools said they have a particular commitment to pupil entitlement in the arts
Arts curriculum,56,%,of schools reported their arts curriculum as 'good' and 29% as 'excellent'
Extra-curricular and arts enrichment,41,%,rated their extra-curricular and arts enrichment offering as 'good'
