Headlines,Percent,Units,Note
Arts opportunities,74,%,of schools actively sign-post for pupils to develop creative skills and participate in arts opportunities beyond the curriculum
Competitions & showcases,65,%,of schools enter pupils into competitions or showcases - whether that is at a local community or regional/national level
