Type,Total,Responses,Percent,Units
All,294,34,11.56,%
Primary schools,227,20,8.81,%
Secondary schools,43,10,23.26,%
Academy & Free Schools,95,,0.0,%
Community,86,,0.0,%
Foundation,37,,0.0,%
Independent,16,,0.0,%
Special Schools,8,,0.0,%
Voluntary,52,,0.0,%
