Response,Theatre (%),Concerts (%),Cinema (%),Gallery (%),Dance (%),Museum (%),Heritage (%),Gaming (%),Library (%),Community (%)
In Leeds,86,100,100,95,100,95,82,33,100,90
Elsewhere in Yorkshire,50,45,0,33,20,48,55,67,0,30
Elsewhere in the UK,18,9,0,10,0,10,0,0,0,10
Overseas,5,0,0,0,0,0,0,0,0,0
