Category,Academy & Free Schools number,Academy & Free Schools entries,Academy & Free Schools ratio,Community number,Community entries,Community ratio,Foundation number,Foundation entries,Foundation ratio,Independent number,Independent entries,Independent ratio,Special Schools number,Special Schools entries,Special Schools ratio,Voluntary number,Voluntary entries,Voluntary ratio
KS4 & 5,16805,5651,0.3363,4227,1007,0.2382,2504,985,0.3934,28,324,11.5714,708,13,0.0184,745,159,0.2134
KS4,12849,5052,0.3932,2580,795,0.3081,1866,885,0.4743,14,263,18.7857,391,13,0.0332,745,159,0.2134
KS5,3956,599,0.1514,1647,212,0.1287,638,100,0.1567,14,61,4.3571,317,0,0.0000,0,0,0.0000
