type,Awarded,Registered,Working Towards,Total schools of this type,awarded_percent,registered_percent,working_towards_percent
Academy & Free Schools,2,9,7,95,2,9,7
Independent,0,0,1,16,0,0,6
Special School,0,1,1,8,0,12,12
Maintained,11,10,11,175,6,6,6
