JCQ Title,JCQ Code,Year 9 and below June 2023,Year 10 June 2023,Year 11 June 2023,Year 12 June 2023,Year 13 and above June 2023,Total 2023,Year 9 and below June 2022,Year 10 June 2022,Year 11 June 2022,Year 12 June 2022,Year 13 and above June 2022,Total 2022,Year 9 and below June 2021,Year 10 June 2021,Year 11 June 2021,Year 12 June 2021,Year 13 and above June 2021,Total 2021,Year 9 and below June 2020,Year 10 June 2020,Year 11 June 2020,Year 12 June 2020,Year 13 and above June 2020,Total 2020,Year 9 and below June 2019,Year 10 June 2019,Year 11 June 2019,Year 12 June 2019,Year 13 and above June 2019,Total 2019,Year 9 & below_2018,Year 10_2018,Year 11_2018,Year 12_2018,Year 13+_2018,Total_2018,Year 9 & below_2017,Year 10_2017,Year 11_2017,Year 12_2017,Year 13+_2017,Total_2017
art and design subjects,10,375,2295,182530,2135,375,187710,325,3055,188190,2125,345,194040,305,3475,191160,2330,320,197595,805,5350,184020,2475,385,193035,740,4860,175420,2595,445,184060,705.0,4120.0,160695.0,2770.0,470.0,168765.0,485.0,2840.0,158480.0,2875.0,440.0,165115.0
biology,30,105,1195,173930,2680,2220,180125,115,1505,168165,2105,2715,174605,125,1160,165820,1870,2855,171835,145,1215,160035,2350,2890,166635,115,950,160925,2345,3190,167525,35.0,990.0,160360.0,2395.0,3295.0,167075.0,25.0,290.0,129290.0,1680.0,1745.0,133030.0
business studies,50,175,890,111995,1240,225,114525,185,995,98530,1035,250,100990,145,915,93325,1000,225,95610,185,1270,89220,930,190,91800,215,1325,87210,925,180,89860,200.0,765.0,83365.0,970.0,165.0,85465.0,120.0,1230.0,84700.0,1205.0,200.0,87455.0
chemistry,60,80,860,169740,2035,810,173530,95,870,163885,1560,780,167190,85,1040,162490,1345,750,165710,95,940,156370,1615,740,159760,115,840,157795,1585,645,160980,20.0,760.0,157115.0,1575.0,640.0,160110.0,5.0,335.0,130405.0,1300.0,480.0,132520.0
citizenship studies,70,370,3955,17290,540,260,22410,415,4510,17190,470,270,22850,85,3520,16310,495,340,20750,670,3465,17370,500,280,22285,455,2735,16480,460,290,20425,355.0,2515.0,15215.0,405.0,215.0,18705.0,265.0,1535.0,16685.0,355.0,150.0,18990.0
classical subjects,80,180,945,14310,250,85,15770,190,870,13685,260,100,15100,170,960,13970,235,60,15400,180,1005,14480,225,80,15970,155,1115,14105,255,105,15740,165.0,1075.0,13745.0,290.0,125.0,15400.0,175.0,1100.0,12830.0,295.0,135.0,14540.0
computing,100,70,1045,86365,935,120,88530,100,1280,77075,600,80,79135,75,1110,75385,615,60,77245,100,1365,74020,625,70,76180,75,1515,75825,610,55,78080,130.0,1720.0,69875.0,605.0,25.0,72360.0,45.0,885.0,67795.0,580.0,45.0,69350.0
design and technology,130,90,885,77450,585,15,79025,55,940,76855,545,15,78405,45,950,80795,680,35,82505,135,1540,87250,715,30,89665,105,1360,88560,740,40,90805,535.0,1505.0,114430.0,1080.0,55.0,117605.0,605.0,2850.0,151145.0,1605.0,75.0,156285.0
drama,140,55,470,48880,410,10,49825,55,550,52800,375,15,53790,45,585,55825,405,0,56860,130,890,56540,430,0,58000,170,820,56815,445,5,58255,305.0,770.0,57050.0,465.0,10.0,58595.0,230.0,920.0,60255.0,535.0,15.0,61955.0
economics,150,0,110,6995,70,25,7205,10,210,6485,80,20,6805,5,160,6250,70,15,6500,10,255,6160,85,10,6525,0,205,5850,75,10,6145,0.0,135.0,4985.0,65.0,35.0,5220.0,220.0,245.0,5090.0,95.0,45.0,5700.0
engineering,160,0,0,2475,15,0,2490,0,0,2290,15,0,2305,0,0,2500,0,5,2515,0,10,2800,15,0,2830,20,60,2895,10,0,2990,40.0,60.0,4595.0,20.0,0.0,4715.0,45.0,105.0,6775.0,55.0,0.0,6985.0
english language,170,70,4305,614750,71735,64050,754910,75,5955,594100,56690,62975,719790,70,5315,580790,61905,81525,729605,65,7455,567445,83645,88095,746705,70,9005,551060,80175,89005,729315,100.0,10820.0,528365.0,76830.0,90140.0,706255.0,75.0,14595.0,536185.0,64925.0,85240.0,701020.0
english literature,180,40,13355,584480,3730,345,601945,45,16800,562430,3080,325,582680,40,20930,548030,3420,340,572765,40,24525,532790,3655,310,561315,25,29640,517355,3795,390,551205,50.0,30130.0,503415.0,4010.0,390.0,537990.0,40.0,22095.0,524420.0,4030.0,445.0,551030.0
food preparation and nutrition,187,20,520,52370,440,25,53380,60,680,50825,360,20,51940,40,750,48755,395,25,49965,115,860,46130,370,25,47495,140,810,43900,410,35,45295,165.0,1080.0,46355.0,440.0,35.0,48075.0,0.0,0.0,0.0,0.0,0.0,0.0
french,190,990,1270,123685,555,60,126560,1270,1325,122965,540,85,126185,830,1360,122870,550,50,125655,985,1580,122510,610,85,125770,1125,1640,122235,630,65,125700,980.0,1405.0,117465.0,685.0,70.0,120605.0,1065.0,1730.0,118150.0,745.0,105.0,121790.0
geography,210,45,1040,279780,2035,120,283020,150,1225,276040,1685,105,279205,115,1555,264625,1775,105,268180,215,1450,253235,1800,100,256805,270,1860,248955,1925,120,253125,310.0,1915.0,240485.0,2055.0,160.0,244925.0,215.0,1750.0,227245.0,2075.0,135.0,231425.0
german,220,350,455,32980,135,20,33945,380,430,35020,140,30,36000,230,310,36320,160,15,37035,390,535,40175,185,35,41320,330,495,41090,220,40,42175,250.0,420.0,42325.0,235.0,30.0,43260.0,310.0,630.0,40845.0,220.0,40.0,42040.0
history,240,55,1395,295055,1455,190,298155,110,1275,275955,1230,180,278750,120,1400,275710,1450,205,278880,145,1850,272150,1570,200,275910,175,2200,260560,1570,170,264680,235.0,2145.0,243855.0,1560.0,240.0,248040.0,85.0,1805.0,236600.0,1850.0,235.0,240570.0
mathematics,330,265,2270,610710,83960,89610,786815,265,2095,592915,71415,82705,749390,195,2135,582275,74560,99590,758755,310,2475,569160,81035,104250,757235,390,3010,552340,79140,107360,742245,440.0,3330.0,534085.0,74665.0,103250.0,715775.0,415.0,3315.0,537620.0,75645.0,109600.0,726595.0
