JCQ Title,JCQ Code,Year 9 and below June 2023,Year 10 June 2023,Year 11 June 2023,Year 12 June 2023,Year 13 and above June 2023,Total 2023,Year 9 and below June 2022,Year 10 June 2022,Year 11 June 2022,Year 12 June 2022,Year 13 and above June 2022,Total 2022,Year 9 and below June 2021,Year 10 June 2021,Year 11 June 2021,Year 12 June 2021,Year 13 and above June 2021,Total 2021,Year 9 and below June 2020,Year 10 June 2020,Year 11 June 2020,Year 12 June 2020,Year 13 and above June 2020,Total 2020,Year 9 and below June 2019,Year 10 June 2019,Year 11 June 2019,Year 12 June 2019,Year 13 and above June 2019,Total 2019,Year 9 & below_2018,Year 10_2018,Year 11_2018,Year 12_2018,Year 13+_2018,Total_2018,Year 9 & below_2017,Year 10_2017,Year 11_2017,Year 12_2017,Year 13+_2017,Total_2017
media / film / tv studies,360,80,330,31850,535,110,32905,75,530,30385,520,125,31635,40,480,31490,530,165,32705,125,820,33155,610,140,34845,125,795,35120,685,145,36870,190.0,885.0,39685.0,935.0,230.0,41925.0,315.0,1765.0,41975.0,1195.0,235.0,45485.0
music,370,50,330,29355,365,20,30115,105,420,33250,340,15,34130,55,425,34535,365,15,35400,125,690,33670,370,10,34865,120,635,33840,380,15,34990,150.0,695.0,34625.0,400.0,30.0,35895.0,175.0,760.0,37360.0,430.0,20.0,38745.0
performing / expressive arts,380,50,180,6620,40,0,6890,40,255,7920,30,0,8245,45,340,8355,35,5,8780,75,450,8525,35,0,9085,85,340,8845,50,10,9335,115.0,340.0,8295.0,40.0,5.0,8795.0,320.0,1015.0,13545.0,75.0,0.0,14950.0
physical education,400,30,645,73325,535,20,74550,70,860,69830,435,20,71215,45,885,69965,510,20,71425,65,1480,72905,525,20,74995,80,1590,78430,530,35,80665,110.0,1690.0,85290.0,680.0,55.0,87825.0,165.0,1860.0,109585.0,870.0,70.0,112550.0
physics,410,95,705,169580,1800,545,172725,120,555,163975,1380,530,166550,95,670,161845,1225,500,164330,110,580,155740,1495,460,158395,80,740,156855,1455,415,159555,125.0,705.0,155630.0,1440.0,395.0,158295.0,70.0,205.0,130865.0,1120.0,335.0,132595.0
religious studies,450,485,27750,215555,1455,140,245385,125,29410,212920,1300,125,243875,230,25350,212540,1435,125,239680,810,28640,217330,1460,95,248340,660,26500,222135,1710,140,251140,1345.0,23880.0,233040.0,1895.0,140.0,260300.0,2255.0,26600.0,266285.0,2465.0,190.0,297800.0
science: double award,470,25,720,871410,7840,1935,881925,10,575,845300,6490,2080,854450,30,945,830390,7360,2230,840955,25,765,809230,8190,2065,820270,15,645,775440,8415,2320,786830,30.0,655.0,733260.0,7875.0,2365.0,744185.0,0.0,0.0,0.0,0.0,0.0,0.0
social science subjects,500,95,1065,46080,1295,735,49270,80,930,39705,1055,620,42385,55,975,36600,1060,700,39395,125,1120,35130,1380,810,38560,120,1275,34695,1410,860,38355,190.0,830.0,34090.0,1730.0,1050.0,37895.0,125.0,1110.0,34540.0,2145.0,1410.0,39325.0
spanish,520,1570,1885,117505,585,125,121670,1590,1815,112260,530,160,116355,1100,1070,106850,570,65,109655,1170,2215,101630,635,190,105840,1185,2055,97010,615,215,101080,1030.0,1660.0,88405.0,645.0,240.0,91980.0,1090.0,1435.0,82010.0,675.0,290.0,85505.0
statistics,530,210,8390,17795,265,130,26785,270,9305,12735,190,115,22615,80,6030,11495,195,150,17950,770,9320,15275,305,170,25845,780,9205,13435,210,85,23720,905.0,3755.0,10380.0,165.0,50.0,15255.0,1295.0,10665.0,10825.0,255.0,80.0,23120.0
other modern languages,580,2835,11230,23395,1250,560,39270,2480,8965,23140,1230,500,36310,1740,4260,18065,785,375,25225,3090,8340,19810,1000,510,32755,3100,7380,20135,950,540,32100,4605.0,6760.0,19225.0,1195.0,680.0,32460.0,4525.0,8030.0,18515.0,1190.0,735.0,32995.0
other sciences,590,15,405,1895,105,45,2465,25,320,1845,80,45,2320,0,285,1800,80,55,2220,75,580,1875,110,85,2725,130,445,1805,110,110,2600,155.0,355.0,1845.0,95.0,75.0,2525.0,250.0,705.0,2845.0,145.0,240.0,4190.0
total,-,8885,90895,5090115,191005,162940,5543840,8880,98515,4928640,157875,155340,5349250,6240,89345,4847140,167420,190930,5301075,11275,113040,4756135,198960,202340,5281745,11180,116065,4657115,194440,207040,5185840,14335.0,109015.0,4619275.0,189065.0,204805.0,5136495.0,15730.0,118570.0,4573175.0,181955.0,208595.0,5098020.0
