Headlines,Percent,Units,Note
Academy & Free Schools,32,%,of all schools in Leeds are Academy & Free Schools
Artsmark,18,%,of Leeds schools are working towards Artsmark
Arts Award,5,%,of Leeds schools offer an Arts Award
