type,Number of schools signed up for Arts Award,Number of schools not signed up for Arts Award,Total Schools of this type,Percentage of schools of this type signed up for Arts Award
Academy & Free Schools,3,92,95,3.16
Community,4,82,86,4.65
Foundation,2,35,37,5.41
Independent,3,13,16,18.75
Special Schools,3,5,8,37.50
Voluntary,1,51,52,1.92
