Facilities,Overall,Primary,Secondary,Special School,Other
Music lesson/practice rooms,74,60,100,67,100
A theatre/hall space with production facilities,56,50,70,33,100
A drama studio,26,5,70,0,100
A music studio,26,5,60,33,100
Art studios,38,20,80,33,0
Other arts/creative facilities,24,10,40,67,0
No arts/creative facilities,21,30,0,33,0
