Response,Overall,Primary,Secondary,Special School,Other
Trips to a theatre to see a play or musical,67,50,100,50,100
Trips to a gallery,64,70,50,50,100
Trips to a museum,64,75,30,100,100
Trips to a library (other than your own school library),45,60,20,0,100
Trips to the cinema,39,30,40,100,100
Trips to a concert,33,30,50,0,0
Trips to a heritage site,33,45,10,50,0
Trips to community organisations,30,35,10,50,100
Trips to a dance performance,15,10,20,0,100
Trips to experience gaming,9,10,0,50,0
Other arts trips,24,20,20,100,0
No arts trips took place,3,0,10,0,0
