School type,Total number of schools of this type,Responses from this type of school,No responses to survey from this type of school,Percentage of this type of school responding
Academy & Free,95,11,84,11.6
Community,86,12,74,14
Foundation,37,6,31,16.2
Independent,16,1,15,6.25
Special,8,2,6,25
Voluntary,52,3,49,5.8
