Response,Music (%),Orchestra (%),Choirs / Vocal Ensemble (%),Dance (%),Drama (%),D&T (%),Digital Media (%),Art Groups (%)
External providers,65,35,18,58,14,9,0,10
School/teachers,62,90,89,74,93,100,100,100
