type,Awarded,Registered,Working Towards,Not involved with ArtsMark,Total schools of this type,Awarded_percent,Registered_percent,working_towards_percent,Not_involved_percent
Academy & Free Schools,2,9,7,77,95,2.11,9.47,7.37,81.05
Community,7,6,7,66,86,8.14,6.98,8.14,76.74
Foundation,1,4,3,29,37,2.70,10.81,8.11,78.38
Independent,0,0,1,15,16,0.00,0.00,6.25,93.75
Special School,0,1,1,6,8,0.00,12.50,12.50,75.00
Voluntary,3,0,1,48,52,5.77,0.00,1.92,92.31
