Response,Overall (%),Primary (%),Secondary (%),Special School (%),Other (%)
Theatre,73,80,75,0,100
Music,64,60,75,100,0
Dance,59,67,50,0,100
Design and Technology,14,13,25,0,0
Digital media and gaming,9,7,25,0,0
Museum/Heritage,50,67,0,0,100
Art,50,47,50,50,100
Film,0,0,0,0,0
