Headlines,Percent,Units,Note
Local partnerships with primary schools,80,%,of primary schools said they have a partnership with a local (professional) arts organisation.
Local partnerships with secondary schools,40,%,of secondary schools said they have a partnership with a local (professional) arts organisation.
