School phase,Total number,Responses from this type of school,No responses from schools of this phase,Percentage of this type of school responding
Primary,227,20,207,8.81
Secondary,43,11,32,25.58
Through,9,1,8,11.11
16+,1,0,1,0.00
N/A,14,3,11,21.43
