Category,Academy & Free Schools number,Academy & Free Schools entries,Academy & Free Schools ratio,Community number,Community entries,Community ratio,Foundation number,Foundation entries,Foundation ratio,Independent number,Independent entries,Independent ratio,Special School number,Special School entries,Special School ratio,Voluntary number,Voluntary entries,Voluntary ratio
KS4 & 5,16805,5651,0.336268967569176,4227,1007,0.238230423468181,2504,985,0.393370607028754,28,324,11.5714285714286,708,13,0.018361581920904,745,159,0.213422818791946
KS4,12849,5052,0.39318234882092,2580,795,0.308139534883721,1866,885,0.47427652733119,14,263,18.7857142857143,391,13,0.0332480818414322,745,159,0.213422818791946
KS5,3956,599,0.151415571284125,1647,212,0.128718882817243,638,100,0.156739811912226,14,61,4.35714285714286,317,0,0,0,0,0
