Headlines,Percent,Units,Note
Local arts organisations,65,%,said they have a relationship with a local arts organisation over a number of years.
School partnerships,44,%,said they have a partnership with another local school to support the arts curriculum.
Local community arts programmes,15,%,said they are part of a local/community-based arts programme.
