School size,Total number of schools of this size,Responses from this size of school,No responses to survey from schools of this size,Percentage of this school size responding
Up to 500 pupils,234,19,215,8.1
501 to 1000 pupils,27,7,20,26
1001 to 1500 pupils,22,6,16,27.3
1500+ pupils,11,3,8,27.3
