Type,Number,KS4,KS5,entries,entries ratio,entries KS4,entries KS4 ratio,entries KS5,entries KS5 ratio,KS4_GCSE_entries_art_design,KS4_GCSE_entries_art_design_3d,KS4_GCSE_entries_art_design_fineart,KS4_GCSE_entries_art_design_graphics,KS4_GCSE_entries_art_design_photography,KS4_GCSE_entries_art_design_textiles,KS4_GCSE_entries_d&t_food_tech,KS4_GCSE_entries_d&t,KS4_technical_entries_dance_general,KS4_GCSE_entries_dance,KS4_GCSE_entries_drama&theatre,KS4_technical_entries_engineeering,KS4_GCSE_entries_film_studies,KS4_technical_award_graphic_design,KS4_GCSE_entries_media_film_tv_studies,KS4_technical_award_entries_multimedia,KS4_GCSE_entries_music,KS4_technical_award_entries_music_studies_general,KS4_technical_award_entries_music_performance_group,KS4_technical_award_entries_music_tech_electronic,KS4_technical_award_entries_speech_and_drama,KS5_BTEC_certificate_art_design,KS5_BTEC_diploma_art_design,KS5_Alevel_art_design,KS5_Alevel_art_design_3D,KS5_Alevel_art_design_fine_art,KS5_Alevel_art_design_graphics,KS5_AS_art_design_photography,KS5_ALevel_art_design_photography,KS5_ALevel_art_design_textiles,KS5_ALevel_design_and_tech_product_design,KS5_ALevel_drama_and_theatre,KS5_Engineeering_OCR_technical_diploma,KS5_engineeering_OCR_extended_certificate,KS5_Engineeering_VRQ_level3,KS5_Engineeering_OCR_technical_foundation_diploma,KS5_ASLevel_film_studies,KS5_ALevel_film_studies,KS5_OCR_level3_multimedia,KS5_OCR_extended_level3_multimedia,KS5_ALevel_media_film_tv_studies,KS5_BTEC_Level3_music_performance_group,KS5_VRQ_Level3_music_performance_group,KS5_ASLevel_music,KS5_ALevel_music,KS5_ALevel_music_technology,KS5_BTEC_Level3_speech_and_drama_group
"Community",86,2580,1647,1007,0.238230423468181,795,0.308139534883721,212,0.128718882817243,93,29,98,0,85,32,100,66,0,0,98,0,33,0,82,0,49,9,0,0,21,0,0,20,12,15,0,5,17,10,7,14,0,0,0,0,0,0,27,30,34,9,1,0,6,0,5
"Academy & Free Schools",95,12849,3956,5651,0.336268967569176,5052,0.39318234882092,599,0.151415571284125,813,50,336,102,456,16,416,509,18,57,434,242,0,10,392,203,192,162,224,2,418,12,3,37,0,75,23,31,35,12,61,60,37,27,2,1,3,17,11,13,95,0,16,4,12,12,0
"Special School",8,391,317,13,0.018361581920904,13,0.0332480818414322,0,0,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Independent",16,14,14,324,11.5714285714286,263,18.7857142857143,61,4.35714285714286,76,0,0,0,5,1,33,73,0,0,47,0,0,0,0,0,28,0,0,0,0,0,0,23,0,0,0,1,2,0,8,8,0,0,0,0,0,0,0,0,9,0,0,0,10,0,0
"Voluntary",52,745,0,159,0.213422818791946,159,0.213422818791946,0,0,30,19,19,0,0,0,23,19,0,0,0,0,0,0,0,0,14,0,16,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Foundation",37,1866,638,985,0.393370607028754,885,0.47427652733119,100,0.156739811912226,55,0,179,0,181,0,112,119,22,0,109,0,0,0,0,0,29,0,36,0,43,0,0,2,1,19,0,12,13,0,2,18,0,0,0,0,0,0,2,25,0,0,4,1,1,0,0
