school_type,total_respondents,percent_respondents,unit,notes
Primary,9,47,%,were from a Primary school
Secondary,5,26,%,were from a Secondary school
Special School,2,11,%,were from a Special school
Through School,2,11,%,were from a Through school
Other,1,5,%,were from Other settings
