Headlines,Value,Suffix,Note
Primary,89,%,of Primary schools who answered the survey take pupils on arts trips outside the school.
Secondary,100,%,of Secondary schools who answered the survey take pupils on arts trips outside the school.
Through Schools,100,%,of Through schools who answered the survey take pupils on arts trips outside the school.
Special Schools,100,%,of Special schools who answered the survey take pupils on arts trips outside the school.
