Headlines,Value,Suffix,Note
Creative career advice,26,%,of schools have someone able to give specialist advice on career pathways into the arts
Practitioner engagement opportunities,84,%,give pupils opportunities to engage with arts practitioners
Supporting teacher CPD,89,%,of schools support teachers' CPD in arts subjects
Pupil Progression,21,%,hold data on pupil progression to study arts in further or higher education
