Title,Value,Note,Suffix
Arts entitlement,79,have a commitment to pupil entitlement in the arts,%
Additional arts funding,42,seek additional funding for arts curriculum and enrichment,%
Signposting,79,sign-post additional creative opportunities for students,%
Arts award,21,said their school offers an Arts Award,%
External practitioners,84,invited external creative practitioners into the school,%
Local partnerships,74,have a partnership with local arts organisations,%
