arts_facilities,Primary,Secondary,Special School,Through School
A drama studio,0,21,0,12
A music studio,0,12,0,25
A theatre/hall space with production facilities,22,17,50,12
Art studios,0,21,0,25
Music lesson/practice rooms,22,21,0,25
No arts/creative facilities,44,0,50,0
Other arts/creative facilities,0,8,0,0
