Headlines,Value,Suffix,Note
Barriers with trips,37,%,have experienced barriers in facilitating trips out of school
Barriers with host venues,21,%,have experienced barriers or challenges with the experience at host venues
Diversity challenges,68,%,are able to find arts delivery partners who reflect the diversity of their pupils
