Question,Title,Value,Note,Suffix
11_arts_entitlement,Arts entitlement,78.9,have a commitment to pupil entitlement in the arts,%
13_additional_arts_funding,Additional arts funding,42.1,seek additional funding for arts curriculum and enrichment,%
22_signposting_beyond_curriculum,Signposting,78.9,sign-post additional creative opportunities for students,%
54_arts_award,Arts award,21.1,said their school offers an Arts Award,%
58_external_orgs_arts_performances,External practitioners,84.2,invited external creative practitioners into the school,%
92_partnerships_external_orgs,Local partnerships,73.7,have a partnership with local arts organisations,%
