Headlines,Value,Suffix,Note
Competitions & Showcases,68,%,"Enter pupils into competitions or showcases – whether that is at a local, community, regional or national level"
Signposting beyond the curriculum,79,%,"Actively sign-post opportunities for pupils to develop creative skills and participate in arts opportunities beyond the curriculum"
