trip_types,Primary,Secondary,Special School,Through School,Suffix
Don't know,0,0,0,0,%
Other arts trips,4,3,0,8,%
Trips to a concert,9,11,7,8,%
Trips to a dance performance,2,11,13,8,%
Trips to a gallery,13,11,7,8,%
Trips to a heritage site,9,8,7,17,%
Trips to a library,7,11,13,8,%
Trips to a museum,20,11,7,8,%
Trips to a theatre to see a play or musical,20,13,7,17,%
Trips to community organisations,7,8,13,17,%
Trips to the cinema,11,5,13,0,%
Gaming or VR,0,5,7,0,%
