Headlines,Value,Suffix,Note
Primary,44,%,of Primary schools attract additional funding for arts curriculum or enrichment activity.
Secondary,40,%,of Secondary schools attract additional funding for arts curriculum or enrichment activity.
Through Schools,50,%,of Through schools attract additional funding for arts curriculum or enrichment activity.
Special Schools,0,%,of Special schools attract additional funding for arts curriculum or enrichment activity.
