Subject Area,Primary,Secondary,Special School,Through School
Art,8,13,0,14
Dance,12,20,0,29
Design and Technology,8,7,0,0
Film,4,0,0,14
Literature/Poetry,19,0,0,14
Museum/Heritage,4,0,0,0
Music,19,33,100,14
Theatre,19,27,0,14
