rating_arts_offer,Primary,Secondary,Special School,Through School,Suffix
Excellent,26.3,26.3,26.3,26.3,%
Good,57.9,57.9,57.9,57.9,%
Mixed,15.8,15.8,15.8,15.8,%
Poor,0.0,0.0,0.0,0.0,%
