ward_code,organisations
E05001464,1
E05010318,1
E05011385,2
E05011388,3
E05011390,2
E05011394,2
E05011397,1
E05011399,1
E05011400,1
E05011403,19
E05011404,1
E05011547,1
E05011549,2
E05012647,7
E05012842,1
UNKNOWN,1
E05011387,0
E05012648,0
E05011391,0
E05013831,0
E05011413,0
E05011402,0
E05011410,0
E05011409,0
E05011411,0
E05011407,0
E05011401,0
E05011405,0
E05011384,0
E05011389,0
E05012841,0
E05011406,0
E05011414,0
E05013830,0
E05011395,0
E05011396,0
