Year,All Subjects,Art and Design,Dance,Design & Technology,Drama,Media/Film/TV,Music,Performing Arts
2010,4692687,3.6,0.3,,1.7,1.2,1.0,0.0
2011,4510995,3.6,0.3,,1.7,1.1,1.0,0.1
2012,4427668,3.6,0.3,,1.6,1.1,0.9,0.1
2013,4585696,3.6,0.3,,1.5,1.1,0.9,0.1
2014,4656287,3.7,0.3,,1.5,1.1,0.9,0.1
2015,4612572,3.8,0.3,,1.5,1.1,0.9,0.1
2016,4588814,3.6,0.2,,1.5,1.0,0.9,0.1
2017,4790663,3.4,0.2,,1.3,0.9,0.8,0.1
2018,4302117,3.7,0.2,,1.3,0.9,0.8,
2019,4332852,4.1,0.2,2.0,1.3,0.7,0.8,
2020,4452792,4.2,0.2,2.0,1.3,0.7,0.8,
2021,4532533,4.3,0.2,1.8,1.3,0.6,0.8,
2022,4583754,4.2,0.2,1.7,1.2,0.6,0.7,
2023,4736479,3.9,0.1,1.7,1.0,0.6,0.6,
