year,Art & design subjects,Biology,Business studies,Chemistry,Classical subjects,Communication studies,Computing,Critical thinking,Design & technology,Drama,Economics,English language,English literature,English language & literature,French,General studies,Geography,German,Health & social care,History,ICT,Law,Mathematics,Mathematics (further),Media / film / TV studies,Music,Performing / expressive arts,Physical education,Physics,Political studies,Psychology
2017,41150,56945,32540,48765,6195,1570,7710,45,10750,10770,29430,21210,42695,10450,8610,7235,34515,3440,4475,45725,7980,10855,88205,15450,24790,5640,2320,9905,33840,16235,57460
2018,40300,58925,30155,50830,5470,1190,9685,30,9780,10260,30190,17875,40990,9000,7945,3505,30650,2890,2610,44900,4635,10640,90955,15450,23175,5485,1310,10110,35255,16605,58300
2019,39635,64460,30820,55615,4995,0,10550,0,9375,9320,30095,13815,37475,7580,7680,40,32050,2905,15,47455,55,11245,86185,13920,19985,5155,1085,9905,36420,18495,62685
2020,39145,61130,33260,53435,4665,0,11730,0,9185,8685,30865,14715,38310,7250,7685,0,27470,2735,0,41120,0,11275,89730,14475,19525,5035,1070,10355,35740,16455,63490
2021,39370,63765,35285,55485,4600,0,12930,0,8340,8670,32700,14230,36135,7155,7725,0,31810,2525,0,41585,0,12825,90290,14850,19025,5045,1160,10755,37560,17065,68315
2022,42100,66220,38980,54865,4875,0,15210,0,9725,8985,35760,14260,32910,6795,7440,0,34245,2675,0,42885,0,13995,89605,14520,20050,5305,1175,12000,36770,19145,76265
2023,40930,68870,41265,57620,5855,0,17420,0,9000,8385,38325,13200,34000,6755,6510,0,34870,2210,0,44545,0,14170,90845,14535,21530,4945,955,12035,35815,20630,78015
