Year,Art & design,Design & technology,Drama,Media film tv,Total Music,Total subjects
1900,5.1,1.9,1.7,1.8,0.9,672362
1996,4.8,1.4,1.3,1.1,0.9,620164
1997,4.8,1.4,1.3,1.4,0.9,662163
1998,5.0,1.6,1.4,1.6,0.9,681082
1999,5.1,1.7,1.6,1.7,0.9,680048
2001,5.2,2.0,1.7,2.0,0.9,681553
2002,4.9,2.2,1.9,2.6,1.0,645033
2003,5.1,2.3,2.0,2.9,1.2,662670
2004,5.1,2.3,2.1,3.1,1.2,675924
2005,5.1,2.3,2.1,3.1,1.2,691371
2006,5.2,2.3,2.1,3.2,1.3,715203
2007,5.3,2.2,2.1,3.2,1.3,718756
2008,5.3,2.1,2.0,3.3,1.3,741356
2009,5.4,2.0,2.0,3.3,1.2,757696
2010,5.5,1.9,1.9,3.1,1.1,783347
2011,5.4,1.9,1.9,3.1,1.1,782771
2012,5.5,1.8,1.8,2.9,1.1,779479
2013,5.3,1.6,1.6,2.7,1.0,773645
2014,5.5,1.6,1.6,2.6,1.0,742147
2015,5.4,1.5,1.6,2.5,0.9,758625
2016,5.3,1.4,1.5,2.5,0.8,744162
2017,5.4,1.4,1.4,2.4,0.8,743726
2018,5.4,1.3,1.4,2.4,0.7,731866
2019,5.4,1.3,1.3,1.9,0.7,727415
2020,5.4,1.3,1.2,1.9,0.7,712171
2021,5.3,1.1,1.2,1.8,0.7,741826
2022,5.4,1.2,1.2,1.8,0.7,772541
2023,5.1,1.1,1.1,1.8,0.6,789219
