ward_name,ward_code,fsm_pct_weighted
Burmantofts & Richmond Hill,E05011388,49.54368753824189
Killingbeck & Seacroft,E05011400,49.25463182897862
Middleton Park,E05011404,44.2280715
Gipton & Harehills,E05011394,42.69411544227886
Armley,E05011385,41.398326133909286
Headingley & Hyde Park,E05011397,38.65753501
Hunslet & Riverside,E05011399,38.25733598409544
Little London & Woodhouse,E05011403,37.85459525258673
Bramley & Stanningley,E05011387,37.68619246861925
Farnley & Wortley,E05012648,35.146953478797855
Beeston & Holbeck,E05012647,33.34963730569948
Chapel Allerton,E05011390,32.13591900311526
Cross Gates & Whinmoor,E05011391,31.96347574686797
Temple Newsam,E05013831,29.62299227799228
Weetwood,E05011413,29.10844986611128
Kirkstall,E05011402,26.554952076677317
Rothwell,E05011410,24.66167859466493
Pudsey,E05011409,19.88560360360361
Roundhay,E05011411,18.452276229163747
Morley South,E05011407,18.29021739130435
Kippax & Methley,E05011401,17.07845490920283
Moortown,E05011405,16.84968974931745
Ardsley & Robin Hood,E05011384,16.83391096504332
Calverley & Farsley,E05011389,16.598884534217667
Alwoodley,E05012842,16.309603016189843
Adel & Wharfedale,E05012841,15.610853658536586
Morley North,E05011406,14.905980930366944
Wetherby,E05011414,14.89111641
Otley & Yeadon,E05011549,13.048358208955223
Garforth & Swillington,E05013830,11.881998021760634
Guiseley & Rawdon,E05011395,11.63862353120708
Horsforth,E05011547,9.801154223968563
Harewood,E05011396,7.299873976
