year,Art & design subjects,Biology,Business studies,Chemistry,Citizenship studies,Classical subjects,Computing,Design & technology,Drama,Economics,Engineering,English language,English literature,Food preparation & nutrition,French,Geography,German,History,Mathematics,Media / film / TV studies,Music,Performing / expressive arts,Physical education,Physics,Religious studies,Science: Double Award,Social science subjects,Spanish,Statistics,Other modern languages,Other sciences
2023,187710,180125,114525,173530,22410,15770,88530,79025,49825,7205,2490,754910,601945,53380,126560,283020,33945,298155,786815,32905,30115,6890,74550,172725,245385,881925,49270,121670,26785,39270,2465
2022,194040,174605,100990,167190,22850,15100,79135,78405,53790,6805,2305,719790,582680,51940,126185,279205,36000,278750,749390,31635,34130,8245,71215,166550,243875,854450,42385,116355,22615,36310,2320
2021,197595,171835,95610,165710,20750,15400,77245,82505,56860,6500,2515,729605,572765,49965,125655,268180,37035,278880,758755,32705,35400,8780,71425,164330,239680,840955,39395,109655,17950,25225,2220
2020,193035,166635,91800,159760,22285,15970,76180,89665,58000,6525,2830,746705,561315,47495,125770,256805,41320,275910,757235,34845,34865,9085,74995,158395,248340,820270,38560,105840,25845,32755,2725
2019,184060,167525,89860,160980,20425,15740,78080,90805,58255,6145,2990,729315,551205,45295,125700,253125,42175,264680,742245,36870,34990,9335,80665,159555,251140,786830,38355,101080,23720,32100,2600
2018,168765,167075,85465,160110,18705,15400,72360,117605,58595,5220,4715,706255,537990,48075,120605,244925,43260,248040,715775,41925,35895,8795,87825,158295,260300,744185,37895,91980,15255,32460,2525
2017,165115,133030,87455,132520,18990,14540,69350,156285,61955,5700,6985,701020,551030,0,121790,231425,42040,240570,726595,45485,38745,14950,112550,132595,297800,0,39325,85505,23120,32995,4190
