AGE_NAME,MEASURES_NAME,VALUE
Aged 0 - 15,Percent,18.8
Aged 0 - 15,Value,154800.0
Aged 15 - 19 years,Percent,6.5
Aged 15 - 19 years,Value,53800.0
All ages,Percent,100.0
All ages,Value,822500.0
Aged 0 - 19 years,Value,208600.0
Aged 0 - 19 years,Percent,25.4
