ward_code,count_schools
E05011384,6
E05011385,9
E05011387,10
E05011388,11
E05011389,7
E05011390,8
E05011391,9
E05011394,9
E05011395,12
E05011396,9
E05011397,5
E05011399,13
E05011400,9
E05011401,9
E05011402,7
E05011403,4
E05011404,13
E05011405,9
E05011406,7
E05011407,9
E05011409,12
E05011410,9
E05011411,8
E05011413,10
E05011414,12
E05011547,11
E05011549,8
E05012647,9
E05012648,8
E05012841,6
E05012842,10
E05013830,7
E05013831,9
