Year,All Subjects,Art and Design,Dance,Design & Technology,Drama,Media/Film/TV,Music,Performing Arts
2010,4692687,169298,15287,,80765,58586,45433,1854
2011,4510995,162342,13177,,74755,51783,43157,2648
2012,4427668,159012,11942,,70371,49478,40761,2270
2013,4585696,164510,11540,,69754,48698,41256,3079
2014,4656287,171078,11947,,70984,51328,42446,4504
2015,4612572,176187,12006,,70851,51602,43698,5998
2016,4588814,166664,10539,,67890,46830,41650,5308
2017,4790663,161687,9385,,62112,40843,38897,4063
2018,4302117,159414,8226,,57176,37912,34709,
2019,4332852,177265,9183,88457,57659,30494,34580,
2020,4452792,187950,8989,88949,58070,29052,34672,
2021,4532533,194098,8832,82445,57126,27468,35451,
2022,4583754,190622,8275,77913,53585,25483,33893,
2023,4736479,183284,6890,78338,49568,26988,29870,
