WD24CD,imd_decile
E05011384,6.45
E05011385,1.86
E05011387,2.41
E05011388,1.07
E05011389,6.36
E05011390,3.46
E05011391,4.4
E05011394,1.06
E05011395,7.86
E05011396,8.75
E05011397,4.8
E05011399,2.62
E05011400,1.65
E05011401,5.79
E05011402,3.17
E05011403,2.82
E05011404,1.38
E05011405,7.15
E05011406,5.87
E05011407,4.62
E05011409,4.69
E05011410,5.29
E05011411,6.56
E05011413,6.07
E05011414,8.0
E05011547,8.14
E05011549,6.07
E05012647,2.0
E05012648,3.12
E05012841,8.14
E05012842,7.25
E05013830,7.0
E05013831,4.86
