PROJECTED_YEAR,Aged 0 to 15,Aged 15-19,All Ages,Aged 0-19
2018,152358,47664,789194,200022
2019,153762,49086,792799,202848
2020,154890,49337,795565,204227
2021,155726,50294,797797,206020
2022,155956,51701,799873,207657
2023,156027,53289,801994,209316
2024,155983,54799,804219,210782
2025,155612,56566,806609,212178
2026,154974,57509,809145,212483
2027,154493,58852,811849,213345
2028,153626,59492,814403,213118
2029,152944,59869,816912,212813
2030,152501,60138,819468,212639
2031,151971,60371,821994,212342
2032,151533,59645,824198,211178
2033,151352,58902,826138,210254
2034,151547,58229,827965,209776
2035,152028,57626,829842,209654
2036,152544,56716,831567,209260
2037,153193,55922,833055,209115
2038,153974,55388,834346,209362
2039,154875,55407,835738,210282
2040,155830,55319,837250,211149
2041,156846,55276,838831,212122
2042,157901,55306,840479,213207
2043,158974,55393,842176,214367
