Year,Art & design,Design & technology,Drama,Media film tv,Total Music,Total subjects
1900,34150,12750,11095,12166,6127,672362
1996,29796,8986,7897,6841,5402,620164
1997,31742,9493,8754,8954,5788,662163
1998,33815,10986,9860,10805,5996,681082
1999,34640,11412,10653,11374,6218,680048
2001,35337,13781,11785,13656,6241,681553
2002,31687,14186,12556,16748,6767,645033
2003,33992,15374,13556,19270,7643,662670
2004,34565,15482,13955,20990,8230,675924
2005,35594,16077,14468,21467,8442,691371
2006,37336,16708,14951,22986,9010,715203
2007,37951,15525,14922,23313,9098,718756
2008,39623,15638,15158,24135,9298,741356
2009,41112,15445,15298,25056,9019,757696
2010,42784,15244,15262,24228,8841,783347
2011,42633,14878,14597,24226,8709,782771
2012,43236,13844,13670,22954,8203,779479
2013,41388,12467,12540,20800,7655,773645
2014,40763,11832,11806,19666,7184,742147
2015,40747,11323,11914,19201,6709,758625
2016,39504,10589,11209,18843,6155,744162
2017,40085,10588,10733,17997,5585,743726
2018,39456,9639,10158,17260,5439,731866
2019,39003,9258,9255,13938,5120,727415
2020,38610,9169,8656,13693,5002,712171
2021,39065,8325,8625,13042,5000,741826
2022,41788,9643,8929,13774,5249,772541
2023,40496,9015,8334,14250,4910,789219
