Headlines,Value,Suffix,Note
Primary,80,%,of Primary schools take pupils on arts trips outside the school.
Secondary,100,%,of Secondary schools take pupils on arts trips outside the school.
Through Schools,100,%,of Through schools take pupils on arts trips outside the school.
Special Schools,66,%,of Special schools take pupils on arts trips outside the school.
